epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,135.167,0.70288,0.68216,1.09223,0.98913,1,0.995,0.74453,1.10213,0.609,1.37331,0.0001337,0.0001337,0.0001337
150,136.165,0.56801,0.4095,0.90274,0.98907,1,0.995,0.74453,1.06222,0.61367,1.35963,0.000131225,0.000131225,0.000131225
151,137.127,0.51105,0.42521,0.89,0.98907,1,0.995,0.74453,1.06222,0.61367,1.35963,0.00012875,0.00012875,0.00012875
152,138.09,0.54867,0.41935,0.92263,0.98907,1,0.995,0.74453,1.06222,0.61367,1.35963,0.000126275,0.000126275,0.000126275
153,139.059,0.57171,0.44158,0.96038,0.98907,1,0.995,0.74453,1.06222,0.61367,1.35963,0.0001238,0.0001238,0.0001238
154,140.068,0.58015,0.42097,0.98296,0.98987,1,0.995,0.68121,1.10856,0.57682,1.46537,0.000121325,0.000121325,0.000121325
155,140.91,0.62353,0.44841,0.93844,0.98987,1,0.995,0.68121,1.10856,0.57682,1.46537,0.00011885,0.00011885,0.00011885
156,141.773,0.65099,0.46201,0.97284,0.98987,1,0.995,0.68121,1.10856,0.57682,1.46537,0.000116375,0.000116375,0.000116375
157,142.764,0.69936,0.54192,1.05259,0.98987,1,0.995,0.68121,1.10856,0.57682,1.46537,0.0001139,0.0001139,0.0001139
158,143.669,0.6548,0.44104,0.95217,0.99034,1,0.995,0.65154,1.2264,0.6039,1.57801,0.000111425,0.000111425,0.000111425
159,144.535,0.6392,0.47357,1.02304,0.99034,1,0.995,0.65154,1.2264,0.6039,1.57801,0.00010895,0.00010895,0.00010895
160,145.392,0.6901,0.56024,1.02884,0.99034,1,0.995,0.65154,1.2264,0.6039,1.57801,0.000106475,0.000106475,0.000106475
161,146.249,0.59799,0.38724,0.97363,0.99034,1,0.995,0.65154,1.2264,0.6039,1.57801,0.000104,0.000104,0.000104
162,147.137,0.56823,0.40635,1.01023,0.99037,1,0.995,0.66542,1.25146,0.5988,1.60334,0.000101525,0.000101525,0.000101525
163,147.997,0.57329,0.50275,0.9775,0.99037,1,0.995,0.66542,1.25146,0.5988,1.60334,9.905e-05,9.905e-05,9.905e-05
164,148.86,0.53109,0.37964,0.97948,0.99037,1,0.995,0.66542,1.25146,0.5988,1.60334,9.6575e-05,9.6575e-05,9.6575e-05
